CGPA,Skills,Interest,Career,Age,Gender,Location,Highest_Qualification,Stream,Academic_Level,Soft_Skills,Languages_Known,Certifications,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate
9.23,JavaScript,Data Science,Data Scientist,24,Male,Hyderabad,B.Tech,ECE,Student,"Leadership, Time Management, Communication","English, Hindi",,Remote,Technical,Part-time Job,Top Performer,Teamwork,Yes
9.93,"Data Analysis, Node.js, C++",Software Development,Frontend Developer,23,Other,Pune,B.Sc,BBA,Working Professional,Leadership,Telugu,"Python, Azure",Office,Creative,,Employee of the Month,Data Analysis,No
5.915,C++,AI/ML,Deep Learning Engineer,23,Male,Hyderabad,12th,Civil,Working Professional,"Creativity, Teamwork",Hindi,Data Science,Office,Technical,Freelance Project,,Programming,No
7.192,C++,Marketing,Marketing Executive,27,Other,Pune,12th,Mechanical,Graduate,"Creativity, Teamwork, Communication","Hindi, English",Full Stack Development,Office,Social,,Top Performer,Teamwork,Yes
7.7219999999999995,"HTML/CSS, C++",Cybersecurity,Ethical Hacker,30,Male,Mumbai,MBA,EEE,Working Professional,Communication,Marathi,"Full Stack Development, Python",Remote,Social,,Awarded Best Project,Programming,Yes
8.147,"Node.js, Java",Data Science,Data Scientist,30,Male,Hyderabad,M.Sc,ECE,Student,"Problem Solving, Communication, Creativity","Kannada, English",,Office,Social,,,Project Management,Yes
8.768,"React, SQL, HTML/CSS",Marketing,Marketing Executive,22,Male,Mumbai,MCA,Civil,Graduate,"Teamwork, Problem Solving",Kannada,GCP,Remote,Creative,Part-time Job,Published Paper,Programming,No
9.875,Python,Design,Graphic Designer,21,Other,Pune,MBA,BBA,Graduate,"Communication, Teamwork","English, Hindi",,Office,Analytical,Part-time Job,,Problem Solving,Yes
6.642,"Data Analysis, Node.js",Cybersecurity,Ethical Hacker,18,Female,Pune,M.Sc,BBA,Graduate,Leadership,"Kannada, Telugu","Azure, Full Stack Development",Office,Analytical,Freelance Project,Employee of the Month,Project Management,No
8.648,"React, SQL",AI/ML,Deep Learning Engineer,22,Female,Hyderabad,M.Sc,Mechanical,Graduate,Leadership,Tamil,"Full Stack Development, GCP",Field Work,Analytical,Part-time Job,Hackathon Winner,Programming,No
9.331,Python,Data Science,Data Analyst,20,Other,Vizag,B.Tech,IT,Student,"Leadership, Communication, Problem Solving",Hindi,"Python, AWS",Hybrid,Analytical,Freelance Project,,Programming,No
5.697,HTML/CSS,Data Science,Data Scientist,22,Female,Delhi,12th,Commerce,Graduate,"Leadership, Creativity, Communication","Telugu, Tamil",Machine Learning,Field Work,Creative,Internship at XYZ,,Programming,Yes
