CGPA,Skills,Interest,Career,Age,Gender,Location,Highest_Qualification,Stream,Academic_Level,Soft_Skills,Languages_Known,Certifications,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate,student_profile
9.23,javascript,data science,Data Scientist,24.0,Male,Hyderabad,B.Tech,ECE,Student,leadership  time management  communication,"English, Hindi",unknown,Remote,Technical,Part-time Job,Top Performer,teamwork,Yes,javascript data science leadership  time management  communication unknown teamwork
9.93,data analysis  node.js  c++,software development,Frontend Developer,23.0,Other,Pune,B.Sc,BBA,Working Professional,leadership,Telugu,python  azure,Office,Creative,Unknown,Employee of the Month,data analysis,No,data analysis  node.js  c++ software development leadership python  azure data analysis
5.915,c++,ai/ml,Deep Learning Engineer,23.0,Male,Hyderabad,12th,Civil,Working Professional,creativity  teamwork,Hindi,data science,Office,Technical,Freelance Project,Unknown,programming,No,c++ ai/ml creativity  teamwork data science programming
7.192,c++,marketing,Marketing Executive,27.0,Other,Pune,12th,Mechanical,Graduate,creativity  teamwork  communication,"Hindi, English",full stack development,Office,Social,Unknown,Top Performer,teamwork,Yes,c++ marketing creativity  teamwork  communication full stack development teamwork
7.721999999999999,html/css  c++,cybersecurity,Ethical Hacker,30.0,Male,Mumbai,MBA,EEE,Working Professional,communication,Marathi,full stack development  python,Remote,Social,Unknown,Awarded Best Project,programming,Yes,html/css  c++ cybersecurity communication full stack development  python programming
8.147,node.js  java,data science,Data Scientist,30.0,Male,Hyderabad,M.Sc,ECE,Student,problem solving  communication  creativity,"Kannada, English",unknown,Office,Social,Unknown,Unknown,project management,Yes,node.js  java data science problem solving  communication  creativity unknown project management
8.768,react  sql  html/css,marketing,Marketing Executive,22.0,Male,Mumbai,MCA,Civil,Graduate,teamwork  problem solving,Kannada,gcp,Remote,Creative,Part-time Job,Published Paper,programming,No,react  sql  html/css marketing teamwork  problem solving gcp programming
9.875,python,design,Graphic Designer,21.0,Other,Pune,MBA,BBA,Graduate,communication  teamwork,"English, Hindi",unknown,Office,Analytical,Part-time Job,Unknown,problem solving,Yes,python design communication  teamwork unknown problem solving
6.642,data analysis  node.js,cybersecurity,Ethical Hacker,18.0,Female,Pune,M.Sc,BBA,Graduate,leadership,"Kannada, Telugu",azure  full stack development,Office,Analytical,Freelance Project,Employee of the Month,project management,No,data analysis  node.js cybersecurity leadership azure  full stack development project management
8.648,react  sql,ai/ml,Deep Learning Engineer,22.0,Female,Hyderabad,M.Sc,Mechanical,Graduate,leadership,Tamil,full stack development  gcp,Field Work,Analytical,Part-time Job,Hackathon Winner,programming,No,react  sql ai/ml leadership full stack development  gcp programming
